,userID,text,state_code,party
32,262,rt : the best girls prequel # free ! # bynr # cr4u # cr4u # cr4u prequel # free ! # bynr # cr4u,AZ,R
33,281,"# aperfectnude is # dazzledry love secret . # nonuv # toxinfree # vegan # driesrockhardin5min medipedinailspa 's photo _____________________ to buy dazzle dry colors , please go to : ... _____________________ to buy dazzle ... https…rt : fall in love with wednesday all over again with these gorgeous colors - dazzle dry cherish and starstruck . nails ... https…rt : what does it take to be a woman ? _____________________ to buy dazzle dry colors , please go to : ... _____________________ to buy dazzle ... https…rt : fall in love with wednesday all over again with these gorgeous colors - dazzle dry cherish and starstruck . nails ... https…",AZ,R
34,292,rt : annual rise in inflation under obama has been 1.7 % - less than half the historical average . # debate # debate,AZ,D
35,295,rt : it was the ugliest debate in american history . and it began without a handshake .,AZ,R
38,325,rt : can you do this debate please ?,AZ,R
41,348,is this true ?,AZ,D
42,349,the transition from day to night is one of my favorite times of day ( and the same for mornings…,AZ,D
44,369,fact check : clinton 's claim on the impact of trump 's tax plan versus her plan,AZ,D
45,378,"rt : know any painters , performers , art installations , vendors , or other specialists in creativity that you think ... https : /…rt : know any painters , performers , art installations , vendors , or other specialists in creativity that you think ... https : /…",AZ,D
46,384,"rt : how to teach our kids not to hate , despite all the hate they 're exposed to this election .",AZ,D
53,509,"the question was , '' what 's your ...",AZ,D
57,539,"rt : video : talks about her final first practice of her career , larger leadership role . full interview : … rt : video : talks about her final first practice of her career , larger leadership role . full interview : …",AZ,D
58,541,"_rosenthal salvador perez would win in the al _rosenthal salvador perez would win in the althen u should empathize with him , because you 're a fraud of a writer",AZ,R
59,547,hey i 'm at home in tucson and my bottle of beer is in a cozy and still in my possession . # we'reindividuals,AZ,R
60,557,rt : `` this is your opportunity . this is your chance . end your journey with no regrets . '' # undrafted this is your chance . end your journey with no regrets . '' # undrafted,AZ,R
61,565,i have to wonder if anyone could contain this 🙀🙀🙀 🙀🙀🙀 i have to wonder if anyone could contain this wow is it that subdued ? i ca n't watch this game is much better ! go cubs bang biscuit ! deep breath ! ! sweet ! that 's gon na leave a mark wow is it that subdued ? i ca n't watch this game is much better ! go cubs bang biscuit ! deep breath ! ! sweet ! that 's gon na leave a mark ever notice how many remakes there are ? are you kidding ? ? ?,PA,D
63,569,"rt : psychology says - over thinking is just a painful reminder that you care entirely too much , even when you shouldn'tomg ! ! ! ! ! ! ! painful ! ! ! ! ! ! # debatenightrt : holy fuck , hillary just did a jim-from-the office direct to camera take ! which says . it . all . # debatenightrt : holy fuck , hillary just did a jim-from-the office direct to camera take ! which says . it . all . # debatenightomg ! ! ! ! ! ! ! painful ! ! ! ! ! ! # debatenightrt : psychology says - over thinking is just a painful reminder that you care entirely too much , even when you shouldn'trt : this is f'ing disgusting . what a horrific , shameless , stomach-churning freakshow this is . the world is laughing at us ri…rt : this is f'ing disgusting . what a horrific , shameless , stomach-churning freakshow this is . the world is laughing at us ri…rt : can i get some extra salt ? we 're all out . could ya check ? ? ... ... ... no .",PA,D
64,570,"_boxing i 'm not sure . i think cuadras saw close to roman 's best , and he was the fresher guy at the end of the fight._boxing that early pace was unsustainable , but here 's the thing -- he should 've known better . cuadras had never been down._boxing i do n't think he was ever close to going down . but the past is the past . would love to see a rematch .",PA,D
65,571,helicopter or snow plow ? what kind of parent are you ? # parenting,PA,D
75,671,thanks for ending his twitter hiatus for # debatesnarkrt : damn the dam : an indigenous community 's battle to save their home in the amazon trump 's claim that they 're among the highest is boll… rt : fact-check : us taxes are lower than nearly any other country . trump 's claim that they 're among the highest is bollocks.…rt : why has climate change been ignored in the us election debates ?,NJ,D
76,675,"must be the feed , save on msnbc this lonely view",NJ,D
77,676,"rt : `` martha raddatz , you have two minutes to rebut . `` rt : `` martha raddatz , you have two minutes to rebut . `` rt : who on earth , besides kaine , believes the iranian weapons program has been stopped ? seriously.rt : who on earth , besides kaine , believes the iranian weapons program has been stopped ? seriously . he does n't even believe it",NJ,R
78,694,"so trump and pence do n't talk , nor does he agree with pence ? # debatelol he ca n't answer the moderators question ? i think it 's clear he has lost.where did they pull this audience from ? where did they pull this audience from ? lol he ca n't answer the moderators question ? i think it 's clear he has lost.so trump and pence do n't talk , nor does he agree with pence ? # debatethis moderator is not doing so hot . se se secretary clinton , secretary clinton , look at meeeeeebooom ! he 'd rather have a puppet ! # imwithhermiddle out ? was that a silicon valley reference ? # middleout # election2016 # debatenight # economythis moderator is not doing so hot . se se secretary clinton , secretary clinton , look at meeeeeebooom ! he 'd rather have a puppet ! # imwithhermiddle out ? was that a silicon valley reference ? # middleout # election2016 # debatenight # economy",OR,D
79,696,vegas always knows .,NJ,D
82,706,rt : check out dakari falconer 's mid-season tape on,NJ,D
83,712,"instead of watching tonight 's national trash fire , i 'm playing # hamilton and feeling grateful to be alive at the same time as _manuelinstead of watching tonight 's national trash fire , i 'm playing # hamilton and feeling grateful to be alive at the same time as _manuel",NJ,D
84,725,this is how i handle & lt ; 140 characters .,NJ,R
85,729,"hey , get me a ticket out of here to ireland ! never been on vacation , all that green looks relaxing & amp ; comf .",NJ,D
102,896,"pls do n't overwrite run.conf with updates . those java settings are there for a reason . every autoupdate , i have to re-edit .",OR,R
103,900,rt : waiting for this election to be over with # basketofadorables,OR,D
110,976,let the microphone controversy start now ! i can hear every breath mr. pence takes # vpdebate,OR,R
113,1019,"so stunned how many r buying bs . c'mon america , real change is not trump . # nodictatorforpotus…",OR,D
114,1041,"rt : i have a headachert : bernie sanders was right when he said you ca n't forget the warriors lost a 3-1 lead in the finals with the only unanimous…can we just talk about basketball ? can we just talk about basketball ? rt : bernie sanders was right when he said you ca n't forget the warriors lost a 3-1 lead in the finals with the only unanimous…rt : i have a headacheman people love free stuff , they could care less what it is as long as it is free",OR,R
117,1066,"rt : ever . donald trump is the guy who tries to start a fistfight with you ov…rt : oh man , she has got him riled up . donny is drinking a nice cup of shut the fuck up.blame for everything ? `` why not '' says bozo.rt : booom & gt ; & gt ; lester holt : “you’re perfectly free to release your taxes under audit… '' poor bozo gets audited as a routine . worse than bozo yes , bait and switch . he thinks we are impressed when he says $ 684 mil . whatever bozo . release your taxes our airports are like third world countries . i 'm with not bozothe thousands of people that u have stiffed mr ? ? ? ? right , take advantage of the laws of the nation . oh good bozo . you are going to the # whitehousert : yes we have to deal with systemic racism in our criminal justice system . # debates2016rt : if trump words just said were written down and you recited them , you would be diagnosed as suffering from dementia.rt : yes . a judge found nyc’s stop-and-frisk policy unconstitutional and racially discriminatoryimplicit bias is a problem with all of us . is in the real world . we need to keep learning about each other.rt : `` you decided to stay home ... '' to hrc . i decided to prepare , just like prepared to be pres . …i was the one that got them to produce the birth certificate . idiot . i think i did a great job . oh good . ❤️rt : # meanstreetsofpalmbeachrt : `` no admission of guilt : the donald trump story '' i have been given great credit for what i did . says oh good . glad you are proud of your stupid self . # rt : hacking into american 's private systems and endorsement of same by unacceptable . agree # de… # 400 pounds ? ? ? ? ? ? ? ? there is one adult with a brain in the # debates2016 : totally going as cyber for halloween.rt : i think it 's the cold medicine.rt : dig a pony and xray debate party packed and full of energy ! next debate we will get more chairs ! ! ! donald trump is the guy who tries to start a fistfight with you ov… trumped up trickle down '' that 's called business , hillary '' . well alright thenrt : ever .",OR,D
131,1162,"so far , the only thing i 've learned from this debate is that has no ability to actually enforce debate protocol.so far , the only thing i 've learned from this debate is that has no ability to actually enforce debate protocol.rt : depending on how bad trump loses , he could get comped a free buffet or even a a room on the house . # lasvegas # debatenightif you were looking for a cordial moment in a presidential debate , you should have stayed in the last century . # debatenighttrump : `` the 2nd amendment is under seige . '' by who , trump ? by who ? ? ? ? # debatenighttrump seems to be holding himself together so far . he 's like a cold , squishy ball a napalm waiting to be sparked . # debatenightis chris wallace a better moderator or is trump just mix up how valium and his cocaine ? # debatenightcw : do you want roe v wade to be overturned ? t : it will happen automatically . that 's not how laws work . # debatenightsurprise ! trump is less effective when he 's not interrupting his opponent to throw out insults . # debatenightce : nothing separates the two of you like immigration ... actually , a lot separates the two of you . # captainobvious # debatenightt : we 're getting the drugs , they 're getting the cash ... we 've got some # badhombres here . # debatenight # sherifftrumptrump would make a lot more sense if we replaced his voice with later-years john wayne # debatenight # badhombres # ripthebabyt : `` ... that 's what 's happened bigly . that 's where we 're going bigly '' [ sic ] # debatenight # badhombresrt : i ca n't watch the debate but i heard trump just mentioned these guys ? trump : '' we 'll eliminate our free trade deal to bring jobs back '' # debatenightclinton : '' let me translate [ trump 's statement ] '' trump : '' you ca n't '' america : '' neither can we '' # debatenightsomeone please hire an economist to explain the catch-up effect to donald trump . # debatenighttrump : clinton is inept ! trump : clinton is a criminal genius who helped embezzle $ 6b from the state department # debatenightrt : i 'm offended because i am , in fact , an eating machine . # birbigly # debatetrump claims the clinton campaign hired individuals to start fights at trump rallies for $ 1500 a piece . # badhombres # newjobs # debatenightwhoa , did anyone else just see donald trump 's pants burst into flames ? # liarliar # debatenightrt : depending on how bad trump loses , he could get comped a free buffet or even a a room on the house . # lasvegas # debatenightif you were looking for a cordial moment in a presidential debate , you should have stayed in the last century . # debatenighttrump : `` the 2nd amendment is under seige . '' by who , trump ? by who ? ? ? ? # debatenighttrump seems to be holding himself together so far . he 's like a cold , squishy ball a napalm waiting to be sparked . # debatenightis chris wallace a better moderator or is trump just mix up how valium and his cocaine ? # debatenightcw : do you want roe v wade to be overturned ? t : it will happen automatically . that 's not how laws work . # debatenightsurprise ! trump is less effective when he 's not interrupting his opponent to throw out insults . # debatenightce : nothing separates the two of you like immigration ... actually , a lot separates the two of you . # captainobvious # debatenightt : we 're getting the drugs , they 're getting the cash ... we 've got some # badhombres here . # debatenight # sherifftrumptrump would make a lot more sense if we replaced his voice with later-years john wayne # debatenight # badhombres # ripthebabyt : `` ... that 's what 's happened bigly . that 's where we 're going bigly '' [ sic ] # debatenight # badhombresrt : i ca n't watch the debate but i heard trump just mentioned these guys ? trump : '' we 'll eliminate our free trade deal to bring jobs back '' # debatenightclinton : '' let me translate [ trump 's statement ] '' trump : '' you ca n't '' america : '' neither can we '' # debatenightsomeone please hire an economist to explain the catch-up effect to donald trump . # debatenighttrump : clinton is inept ! trump : clinton is a criminal genius who helped embezzle $ 6b from the state department # debatenightrt : i 'm offended because i am , in fact , an eating machine . # birbigly # debatetrump claims the clinton campaign hired individuals to start fights at trump rallies for $ 1500 a piece . # badhombres # newjobs # debatenightwhoa , did anyone else just see donald trump 's pants burst into flames ? # liarliar # debatenight",OR,D
149,1296,spending time with one of my best friends . # friendship,OR,D
